,Question
192696,"[Hi, I'm Rebecca Herbst from ""General Hospital""]  In a 1999 TV movie on USA, I played Barbi Benton, one-time girlfriend of this publisher"
27815,We bet you a buck you know this is a female deer
82297,In June 2009 this car co. organized by William Durant in 1908 filed for bankruptcy; it emerged from Chapter 11 in July
160554,This Maine college was the alma mater of both Henry Wadsworth Longfellow & Nathaniel Hawthorne
80699,"""Shy Cop"""
42108,"He said, ""One night I dreamt I painted a large American flag"""
155832,"Hall of Famer ""Eck"""
20134,"A hunchback in ""The Name of the Rose"" & a prehistoric man in ""Quest for Fire"", he's now a beast on TV"
136490,"Its name is derived from ""day's eye""; like an eye, its blossoms close at night & open by day"
182060,"In the regular block & draw version of this game, the 2 players begin by drawing 7 bones each"
183967,"This now-Patriots head coach said in 1992, ""I don't think there's anybody... not focused on the 49ers... I mean, Chargers"""
20232,Champion lumberjill Nancy Zalewski swings one of these
75726,"The brave humans of ""Battlestar Galactica"" battled these towering men of metal"
28086,In the 1980s Wally Conron was the first to breed this dog; now there are oodles of them
104262,Duende is the mysterious soul force at the heat of this Spanish dance form
44754,"He first described Santa as ""chubby and plump"" & ""a right jolly old elf"""
125035,Arabian horses are generally 14 to 15 of these horse measurements tall
40883,"His collections include ""My Camera in Yosemite Valley"" & ""Portfolio Two: The National Parks"""
205926,"The name of this ""Kiss Me"" band means that man cannot give God any wealth that isn't God's already"
86591,Compounds featuring this element are used to treat the most common type of anemia
113312,"""Theirs not to reason why, theirs but to do and die"" is from this Tennyson poem"
188550,"It's about ""time"" we did this holiday"
214658,In 1990 she defeated Daniel Ortega to become president of Nicaragua
34203,The Irish Times said in 1995 that this Russian leader's embalmed body would go from Red Square to Euro Disney
6553,"1997's ""Calling All Stations"" was their first album since Phil Collins left the group"
77332,"It's the city where <a href=""http://www.j-archive.com/media/2007-07-17_J_26.jpg"" target=""_blank"">this</a> civil rights march took place in August of 1963"
117140,These 2 men were the longtime pickin' & grinnin' hosts of the show
34188,Free-spirited Greek island-dwelling Donna Sheridan
114730,"(VIDEO DAILY DOUBLE): ""(Hi, I'm Reggie Jackson)  Only 3 men have been named MVP of the World Series twice:  me, Sandy Koufax & this Cardinals pitcher in 1964 & 1967"""
26114,"Singularly, it's a quick turn; in this plural form, they are pranks that are usually ""high"""
175160,Singer Shahnour Aznavourian
99794,"This bounty hunter, seen as a child in Episode II, is actually a clone of his father, Jango"
37208,"He portrayed Peter Allen in ""The Boy from Oz"" between stints as Wolverine in ""X-Men"""
188157,Gall & he led the attack on Custer's 7th cavalry
189156,Confidentiality between these 2 goes back to Hippocrates
32160,"This last name of German athlete Joseph is applied to the flexibility-enhancing ""method"" he developed"
19759,"Alvin Toffler wrote that when man's capacity for change is overwhelmed, he experiences this ""shock"""
137741,"1994:  ""Life is like a box of chocolates: you never know what you're gonna get"""
12510,"From its derivation, if you turn sinister, you've gone in this direction"
199784,Examples of games played using these objects include Red Dog & Yahtzee
97259,"Acheta domesticus is this common type of cricket, a name it shares with a fly & a mouse"
167231,"This ""SNL"" alumnus & Oscar host is known for his ""mahvelous"" impersonations of Sammy Davis Jr. & Grace Jones"
177477,"""The Marine Metropolis of Virginia"" & ""Vacationland, U.S.A."""
208703,"For disguise, try one in black silk; to refresh your skin, try one made from oatmeal or avocado"
61203,"She said, ""The stroke of death is as a lover's pinch"" no doubt ""asp""irating the ""pinch"""
58643,The temporary symbols given to elements 113-118 all begin with a double this vowel
161871,"Abraham, Isaac, Jacob & their wives are buried in a cave in this city near Jerusalem"
125866,No person shall be convicted of treason without the testimony of this number of witnesses
37166,"Centre Guillaume-le-Conquerant in Normandy, France contains this celebrated work stitched in the 11th century"
158795,In 1786 this German immigrant founded his fur business
109108,57 of the 150 of these were meant to be accompanied by a stringed instrument
110749,This philanthropist donated the land on which the U.N. headquarters was built in New York City
104121,"Neon, carbon, potassium"
152787,A direct telephone connection between heads of government
157870,This British queen was named empress of India in 1876
125357,The number of 4-cent stamps in a dozen
17537,"Washington, D.C. & Seattle have been targets of heated protests against the World Bank & the IMF, short for this"
46173,"I don't care if I never get back from Bulgarska Armia Stadium in this city -- actually, I would prefer to get back"
56698,This Tarsan was converted on the road to Damascus
139787,"David Mamet wrote a play called ""Sexual Perversity In"" this Midwest city -- coincidentally, his birthplace"
212960,"The 1990s ""Good Times"" one, which would erase your hard drive if you opened an e-mail, was a hoax"
103993,Brutal Russian czar who's in the phase of toddlerhood marked by tantrums & contrary behavior
168161,"His spy novels sure are manly: ""The Third Man"", ""Our Man in Havana"" & ""The Human Factor"""
173029,In the '90s the Postal Service launched a program aptly named do this to breast cancer
110476,"In 1997 he won a Grammy for his first new album in over a decade, simply titled ""Pete"""
36296,"Cody, Cassidy"
28349,"Hopefully you won't rue the day you see the ""Rue"" sign seen <a href=""http://www.j-archive.com/media/2005-02-17_J_02.jpg"" target=""_blank"">here</a> in this Louisiana district"
202622,"Landing the role of Sue Storm in ""Fantastic Four"" allowed this California girl to meet Cash Warren"
205413,"In the first issue, this ""Gods and Monsters"" & ""Encino Man"" actor was ""Our Token Sex Symbol"""
141110,"Of a baritone, a bass or a tenor, what Caruso was"
47845,In 1994 this 1970s Jim Garner series was revived in a TV movie
65639,"In 1904 this act was first applied to dissolve the Northern Securities Co., which was formed by a big merger"
197858,"Uh, Dad? I kinda crashed your Land Cruiser SUV made by this car co.; the 2009 model starts at nearly $65,000; I'm a little short"
176430,It's a synonym for sprawl
140771,"For Russia: This ""sea"""
166208,"In the 3rd inning of a 1982 game, this Oakland player set a record with his 119th stolen base of the season"
165894,This musical opens as Miguel de Cervantes is thrown into a dungeon for crimes against the church
32588,"(<a href=""http://www.j-archive.com/media/2007-05-29_J_21.jpg"" target=""_blank"">Hi, I'm Kathryn Erbe of ""Law & Order: Criminal Intent"".</a>)  In 1997 I played Stella Kowalski in the Steppenwolf Theatre Company's 50th anniversary production of this great American play"
169999,"Andre de Lorde was the master of the gruesome French thrillers in this ""Grand"" gory genre"
155716,"(<a href=""http://www.j-archive.com/media/2010-02-10_J_28.wmv"">Kelly of the Clue Crew demonstrates a simple science experiment.</a>)  Oops--our salt and pepper got mixed together; if I take a plastic spoon & rub it on wool, it picks up electrons & gets this kind of electrostatic charge, attracting the lighter pepper flakes"
131008,2 union leaders were convicted in the 1910 bombing of this major daily newspaper
169998,Fans of a 1940 Disney film know that Figaro the cat belongs to this woodcarver
104594,"In his HBO biopic, an ""epiphanous experience of pure religiosity"" during a 1971 Ali fight inspires him to be a promoter"
174600,"Humboldt University International: This now-fallen German obstacle ""and European Integration"""
171221,"A thin membrane or layer, as of bone, tissue or cell walls"
85630,"Turkmenistan, Japan, Mongolia"
5291,Eddie Murphy got the role in this '84 police comedy after Sylvester Stallone dropped out
89581,The Basilica of the Holy Blood in Bruges in this country contains a relic believed to be drops of Christ's blood
202308,"A boyfriend, a fop, a ""geste"": B"
101498,"In its purest form, this rock used in the cement industry contains only calcite"
162409,"<a href=""http://www.j-archive.com/media/2007-09-10_DJ_19.jpg"" target=""_blank"">Seen here</a> they're the bright streaks of lunar ejecta flung from an impact crater"
214688,"Adjective meaning animated, vivacious or lively"
93139,"""Vengeance: The True Story of an Israeli Counter-Terrorist Team"""
15046,Today these bloodsucking creatures are sometimes used by physicians to treat hematomas
211413,"Sam proclaimed, ""And you will know my name is the Lord when I lay my vengeance upon thee"" in this 1994 film"
158976,This uppermost part of a capital has the same name as an ancient calculator
35210,"In hardness, pellets called graupel that fall from the sky are partway between snow & this"
156481,"This reptile's long, tapered snout distinguishes it from the alligator, which has a broad, round one"
96749,"Scientists classify these mammals as whales, but don't count on seeing the NFL ""Miami Whales"" anytime soon"
93393,"Endangered tall critter seen <a href=""http://www.j-archive.com/media/2005-11-04_J_21.jpg"" target=""_blank"">here</a>"
40583,"When it's more than 90% covered by clouds, the sky is said to be this"
141611,"When the going gets rough, remember that ""Every cloud has"" one of these"
56429,In 1960 Manfred Clynes combined these 2 words to create cyborg
35384,These Massachusetts siblings began their empire in the 1880s with a game called Banking
21872,"Wellington enlisted the aid of these fighters in Spain whose name means ""little war"", not ""great ape"""
